ID_PRODUTO,PRECO,DATA_EVENTO,PREVISAO_QUANTIDADE_ESTOQUE
1017,22.68,2024-04-16,58
1018,39.78,2024-04-17,58
1019,100.19,2024-04-18,58
1020,129.13,2024-04-19,58
1021,21.24,2024-04-20,59
1022,77.14,2024-04-21,58
1023,128.81,2024-04-22,58
1024,72.52,2024-04-23,59
1000,153.81,2024-04-24,57
1001,75.08,2024-04-25,57
1002,58.84,2024-04-26,57
1003,61.96,2024-04-27,57
1004,18.31,2024-04-28,57
1005,32.94,2024-04-29,57
1006,168.34,2024-04-30,57
1007,23.09,2024-05-01,57
1008,155.89,2024-05-02,57
1009,66.31,2024-05-03,57
1010,164.05,2024-05-04,57
1011,48.96,2024-05-05,58
1012,21.94,2024-05-06,58
1013,80.74,2024-05-07,58
1014,141.87,2024-05-08,57
1015,27.82,2024-05-09,58
1016,30.19,2024-05-10,58
1017,22.68,2024-05-11,58
1018,44.2,2024-05-12,58
1019,100.19,2024-05-13,58
1020,129.13,2024-05-14,58
1021,23.6,2024-05-15,58
1022,85.71,2024-05-16,58
1023,128.81,2024-05-17,58
1024,72.52,2024-05-18,58
1000,153.81,2024-05-19,56
1001,75.08,2024-05-20,57
1002,58.84,2024-05-21,57
1003,61.96,2024-05-22,57
1004,20.34,2024-05-23,57
1005,32.94,2024-05-24,57
1006,187.04,2024-05-25,56
1007,23.09,2024-05-26,57
1008,173.21,2024-05-27,57
1009,66.31,2024-05-28,57
1010,164.05,2024-05-29,57
1011,48.96,2024-05-30,57
1012,19.75,2024-05-31,57
1013,80.74,2024-06-01,57
1014,127.68,2024-06-02,57
1015,27.82,2024-06-03,57
1016,30.19,2024-06-04,58
1017,22.68,2024-06-05,58
1018,44.2,2024-06-06,58
1019,90.17,2024-06-07,57
1020,129.13,2024-06-08,57
1021,23.6,2024-06-09,58
1022,85.71,2024-06-10,58
1023,128.81,2024-06-11,57
1024,72.52,2024-06-12,58
1000,153.81,2024-06-13,56
1001,75.08,2024-06-14,56
1002,58.84,2024-06-15,56
1003,55.76,2024-06-16,56
1004,18.31,2024-06-17,57
1005,29.65,2024-06-18,57
1006,187.04,2024-06-19,56
1007,23.09,2024-06-20,57
1008,173.21,2024-06-21,56
1009,66.31,2024-06-22,57
1010,164.05,2024-06-23,56
1011,48.96,2024-06-24,57
1012,21.94,2024-06-25,57
1013,80.74,2024-06-26,57
1014,141.87,2024-06-27,57
1015,27.82,2024-06-28,57
1016,30.19,2024-06-29,57
1017,20.41,2024-06-30,57
1018,44.2,2024-07-01,57
1019,100.19,2024-07-02,57
1020,116.22,2024-07-03,57
1021,23.6,2024-07-04,57
1022,85.71,2024-07-05,57
1023,143.12,2024-07-06,57
1024,72.52,2024-07-07,57
1000,153.81,2024-07-08,55
1001,67.57,2024-07-09,56
1002,52.96,2024-07-10,56
1003,61.96,2024-07-11,56
1004,20.34,2024-07-12,56
1005,32.94,2024-07-13,56
1006,187.04,2024-07-14,56
1007,23.09,2024-07-15,56
1008,155.89,2024-07-16,56
1009,66.31,2024-07-17,56
1010,182.28,2024-07-18,56
1011,48.96,2024-07-19,56
1012,21.94,2024-07-20,57
1013,80.74,2024-07-21,56
1014,127.68,2024-07-22,56
1015,27.82,2024-07-23,57
1016,30.19,2024-07-24,57
1017,22.68,2024-07-25,57
1018,44.2,2024-07-26,57
1019,100.19,2024-07-27,57
1020,129.13,2024-07-28,57
1021,23.6,2024-07-29,57
1022,85.71,2024-07-30,57
1023,143.12,2024-07-31,57
1024,72.52,2024-08-01,57
1000,153.81,2024-08-02,55
1001,75.08,2024-08-03,55
1002,58.84,2024-08-04,56
1003,61.96,2024-08-05,56
1004,18.31,2024-08-06,56
1005,29.65,2024-08-07,56
1006,187.04,2024-08-08,55
1007,20.78,2024-08-09,56
1008,173.21,2024-08-10,55
1009,66.31,2024-08-11,56
1010,164.05,2024-08-12,56
1011,48.96,2024-08-13,56
1012,21.94,2024-08-14,56
1013,80.74,2024-08-15,56
1014,141.87,2024-08-16,56
1015,27.82,2024-08-17,56
1016,27.17,2024-08-18,56
1017,22.68,2024-08-19,56
1018,44.2,2024-08-20,56
1019,100.19,2024-08-21,56
1020,129.13,2024-08-22,56
1021,23.6,2024-08-23,57
1022,85.71,2024-08-24,56
1023,143.12,2024-08-25,56
1024,72.52,2024-08-26,57
1000,153.81,2024-08-27,55
1001,75.08,2024-08-28,55
1002,58.84,2024-08-29,55
1003,61.96,2024-08-30,55
1004,20.34,2024-08-31,55
1005,32.94,2024-09-01,55
1006,187.04,2024-09-02,55
1007,23.09,2024-09-03,56
1008,155.89,2024-09-04,55
1009,66.31,2024-09-05,55
1010,182.28,2024-09-06,55
1011,44.06,2024-09-07,56
1012,21.94,2024-09-08,56
1013,80.74,2024-09-09,56
1014,141.87,2024-09-10,55
1015,27.82,2024-09-11,56
1016,30.19,2024-09-12,56
1017,22.68,2024-09-13,56
1018,44.2,2024-09-14,56
1019,100.19,2024-09-15,56
1020,129.13,2024-09-16,56
1021,21.24,2024-09-17,56
1022,85.71,2024-09-18,56
1023,143.12,2024-09-19,56
1024,72.52,2024-09-20,56
1000,138.43,2024-09-21,54
1001,67.57,2024-09-22,55
1002,52.96,2024-09-23,55
1003,61.96,2024-09-24,55
1004,18.31,2024-09-25,55
1005,32.94,2024-09-26,55
1006,187.04,2024-09-27,54
1007,23.09,2024-09-28,55
1008,155.89,2024-09-29,55
1009,66.31,2024-09-30,55
1010,182.28,2024-10-01,55
1011,44.06,2024-10-02,55
1012,21.94,2024-10-03,55
1013,80.74,2024-10-04,55
1014,141.87,2024-10-05,55
1015,27.82,2024-10-06,56
1016,30.19,2024-10-07,56
1017,22.68,2024-10-08,56
1018,44.2,2024-10-09,56
1019,100.19,2024-10-10,55
1020,129.13,2024-10-11,55
1021,23.6,2024-10-12,56
1022,85.71,2024-10-13,56
1023,143.12,2024-10-14,55
1024,72.52,2024-10-15,56
1000,138.43,2024-10-16,54
1001,67.57,2024-10-17,54
1002,58.84,2024-10-18,54
1003,55.76,2024-10-19,54
1004,20.34,2024-10-20,55
1005,32.94,2024-10-21,55
1006,187.04,2024-10-22,54
1007,20.78,2024-10-23,55
1008,173.21,2024-10-24,54
1009,59.68,2024-10-25,55
1010,182.28,2024-10-26,54
1011,44.06,2024-10-27,55
1012,21.94,2024-10-28,55
1013,80.74,2024-10-29,55
1014,141.87,2024-10-30,55
1015,27.82,2024-10-31,55
1016,30.19,2024-11-01,55
1017,22.68,2024-11-02,55
1018,44.2,2024-11-03,55
1019,100.19,2024-11-04,55
1020,116.22,2024-11-05,55
1021,21.24,2024-11-06,55
1022,77.14,2024-11-07,55
1023,128.81,2024-11-08,55
1024,72.52,2024-11-09,55
1000,153.81,2024-11-10,54
1001,75.08,2024-11-11,54
1002,58.84,2024-11-12,54
1003,61.96,2024-11-13,54
1004,20.34,2024-11-14,54
1005,32.94,2024-11-15,54
1006,187.04,2024-11-16,54
1007,23.09,2024-11-17,54
1008,173.21,2024-11-18,54
1009,66.31,2024-11-19,54
1010,182.28,2024-11-20,54
1011,48.96,2024-11-21,54
1012,21.94,2024-11-22,55
1013,80.74,2024-11-23,54
1014,141.87,2024-11-24,54
1015,27.82,2024-11-25,55
1016,30.19,2024-11-26,55
1017,20.41,2024-11-27,55
1018,44.2,2024-11-28,55
1019,100.19,2024-11-29,55
1020,129.13,2024-11-30,55
1021,23.6,2024-12-01,55
1022,85.71,2024-12-02,55
1023,143.12,2024-12-03,55
1024,72.52,2024-12-04,55
1000,153.81,2024-12-05,53
1001,75.08,2024-12-06,53
1002,52.96,2024-12-07,54
1003,61.96,2024-12-08,54
1004,20.34,2024-12-09,54
1005,32.94,2024-12-10,54
1006,187.04,2024-12-11,53
1007,23.09,2024-12-12,54
1008,173.21,2024-12-13,53
1009,59.68,2024-12-14,54
1010,164.05,2024-12-15,54
1011,48.96,2024-12-16,54
1012,21.94,2024-12-17,54
1013,72.67,2024-12-18,54
1014,141.87,2024-12-19,54
1015,25.04,2024-12-20,54
1016,30.19,2024-12-21,54
1017,22.68,2024-12-22,54
1018,44.2,2024-12-23,54
1019,100.19,2024-12-24,54
1020,129.13,2024-12-25,54
1021,21.24,2024-12-26,55
1022,85.71,2024-12-27,54
1023,143.12,2024-12-28,54
1024,72.52,2024-12-29,55
1000,153.81,2024-12-30,53
1001,75.08,2024-12-31,53
1002,58.84,2025-01-01,53
1003,61.96,2025-01-02,53
1004,18.31,2025-01-03,53
1005,32.94,2025-01-04,53
1006,187.04,2025-01-05,53
1007,23.09,2025-01-06,54
1008,173.21,2025-01-07,53
1009,66.31,2025-01-08,54
1010,164.05,2025-01-09,53
1011,48.96,2025-01-10,54
1012,21.94,2025-01-11,54
1013,80.74,2025-01-12,54
1014,141.87,2025-01-13,53
1015,27.82,2025-01-14,54
1016,30.19,2025-01-15,54
1017,22.68,2025-01-16,54
1018,39.78,2025-01-17,54
1019,100.19,2025-01-18,54
1020,129.13,2025-01-19,54
1021,23.6,2025-01-20,54
1022,77.14,2025-01-21,54
1023,143.12,2025-01-22,54
1024,72.52,2025-01-23,54
1000,153.81,2025-01-24,52
1001,67.57,2025-01-25,53
1002,58.84,2025-01-26,53
1003,61.96,2025-01-27,53
1004,18.31,2025-01-28,53
1005,29.65,2025-01-29,53
1006,187.04,2025-01-30,53
1007,23.09,2025-01-31,53
1008,173.21,2025-02-01,53
1009,66.31,2025-02-02,53
1010,182.28,2025-02-03,53
1011,48.96,2025-02-04,53
1012,21.94,2025-02-05,53
1013,80.74,2025-02-06,53
1014,141.87,2025-02-07,53
1015,27.82,2025-02-08,54
1016,30.19,2025-02-09,54
1017,20.41,2025-02-10,54
1018,44.2,2025-02-11,54
1019,90.17,2025-02-12,54
1020,129.13,2025-02-13,53
1021,23.6,2025-02-14,54
1022,85.71,2025-02-15,54
1023,143.12,2025-02-16,54
1024,65.27,2025-02-17,54
1000,153.81,2025-02-18,52
1001,75.08,2025-02-19,52
1002,58.84,2025-02-20,52
1003,61.96,2025-02-21,52
1004,20.34,2025-02-22,53
1005,32.94,2025-02-23,53
1006,187.04,2025-02-24,52
1007,20.78,2025-02-25,53
1008,155.89,2025-02-26,52
1009,66.31,2025-02-27,53
1010,182.28,2025-02-28,52
1011,48.96,2025-03-01,53
1012,21.94,2025-03-02,53
1013,80.74,2025-03-03,53
1014,127.68,2025-03-04,53
1015,25.04,2025-03-05,53
1016,30.19,2025-03-06,53
1017,22.68,2025-03-07,53
1018,44.2,2025-03-08,53
1019,100.19,2025-03-09,53
1020,129.13,2025-03-10,53
1021,21.24,2025-03-11,53
1022,77.14,2025-03-12,53
1023,143.12,2025-03-13,53
1024,65.27,2025-03-14,53
1000,153.81,2025-03-15,52
1001,75.08,2025-03-16,52
1002,58.84,2025-03-17,52
1003,61.96,2025-03-18,52
1004,20.34,2025-03-19,52
1005,32.94,2025-03-20,52
1006,187.04,2025-03-21,52
1007,23.09,2025-03-22,52
1008,173.21,2025-03-23,52
1009,59.68,2025-03-24,52
1010,182.28,2025-03-25,52
1011,48.96,2025-03-26,52
1012,21.94,2025-03-27,53
1013,80.74,2025-03-28,52
1014,141.87,2025-03-29,52
1015,27.82,2025-03-30,53
1016,27.17,2025-03-31,53
1017,22.68,2025-04-01,53
1018,44.2,2025-04-02,53
1019,90.17,2025-04-03,53
1020,116.22,2025-04-04,53
1021,23.6,2025-04-05,53
1022,85.71,2025-04-06,53
1023,143.12,2025-04-07,53
1024,72.52,2025-04-08,53
1000,138.43,2025-04-09,51
1001,75.08,2025-04-10,52
1002,58.84,2025-04-11,52
1003,55.76,2025-04-12,52
1004,18.31,2025-04-13,52
1005,32.94,2025-04-14,52
1006,187.04,2025-04-15,51
1007,23.09,2025-04-16,52
1008,173.21,2025-04-17,51
1009,66.31,2025-04-18,52
1010,182.28,2025-04-19,52
1011,48.96,2025-04-20,52
1012,21.94,2025-04-21,52
1013,80.74,2025-04-22,52
1014,127.68,2025-04-23,52
1015,27.82,2025-04-24,52
1016,27.17,2025-04-25,52
1017,22.68,2025-04-26,52
1018,44.2,2025-04-27,52
1019,90.17,2025-04-28,52
1020,129.13,2025-04-29,52
1021,23.6,2025-04-30,53
1022,77.14,2025-05-01,53
1023,143.12,2025-05-02,52
1024,72.52,2025-05-03,53
1000,153.81,2025-05-04,51
1001,75.08,2025-05-05,51
1002,58.84,2025-05-06,51
1003,61.96,2025-05-07,51
1004,20.34,2025-05-08,51
1005,32.94,2025-05-09,51
1006,187.04,2025-05-10,51
1007,23.09,2025-05-11,52
1008,173.21,2025-05-12,51
1009,66.31,2025-05-13,52
1010,182.28,2025-05-14,51
1011,48.96,2025-05-15,52
1012,21.94,2025-05-16,52
1013,80.74,2025-05-17,52
1014,141.87,2025-05-18,52
1015,27.82,2025-05-19,52
1016,30.19,2025-05-20,52
1017,22.68,2025-05-21,52
1018,39.78,2025-05-22,52
1019,100.19,2025-05-23,52
1020,129.13,2025-05-24,52
1021,23.6,2025-05-25,52
1022,77.14,2025-05-26,52
1023,143.12,2025-05-27,52
1024,72.52,2025-05-28,52
1000,153.81,2025-05-29,50
1001,75.08,2025-05-30,51
1002,58.84,2025-05-31,51
1003,61.96,2025-06-01,51
1004,20.34,2025-06-02,51
1005,29.65,2025-06-03,51
1006,168.34,2025-06-04,51
1007,20.78,2025-06-05,51
1008,173.21,2025-06-06,51
1009,66.31,2025-06-07,51
1010,182.28,2025-06-08,51
1011,48.96,2025-06-09,51
1012,19.75,2025-06-10,51
1013,72.67,2025-06-11,51
1014,141.87,2025-06-12,51
1015,27.82,2025-06-13,52
1016,27.17,2025-06-14,52
1017,22.68,2025-06-15,52
1018,44.2,2025-06-16,52
1019,100.19,2025-06-17,52
1020,129.13,2025-06-18,51
1021,23.6,2025-06-19,52
1022,85.71,2025-06-20,52
1023,143.12,2025-06-21,52
1024,72.52,2025-06-22,52
1000,153.81,2025-06-23,50
1001,67.57,2025-06-24,50
1002,52.96,2025-06-25,50
1003,61.96,2025-06-26,50
1004,18.31,2025-06-27,51
1005,32.94,2025-06-28,51
1006,187.04,2025-06-29,50
1007,23.09,2025-06-30,51
1008,173.21,2025-07-01,50
1009,66.31,2025-07-02,51
1010,182.28,2025-07-03,50
1011,48.96,2025-07-04,51
1012,21.94,2025-07-05,51
1013,80.74,2025-07-06,51
1014,141.87,2025-07-07,51
1015,27.82,2025-07-08,51
1016,30.19,2025-07-09,51
1017,22.68,2025-07-10,51
1018,44.2,2025-07-11,51
1019,100.19,2025-07-12,51
1020,116.22,2025-07-13,51
1021,23.6,2025-07-14,52
1022,85.71,2025-07-15,51
1023,143.12,2025-07-16,51
1024,72.52,2025-07-17,51
1000,138.43,2025-07-18,50
1001,75.08,2025-07-19,50
1002,52.96,2025-07-20,50
1003,61.96,2025-07-21,50
1004,20.34,2025-07-22,50
1005,32.94,2025-07-23,50
1006,187.04,2025-07-24,50
1007,20.78,2025-07-25,50
1008,155.89,2025-07-26,50
1009,66.31,2025-07-27,50
1010,182.28,2025-07-28,50
1011,48.96,2025-07-29,51
1012,19.75,2025-07-30,51
1013,80.74,2025-07-31,51
1014,141.87,2025-08-01,50
1015,27.82,2025-08-02,51
1016,30.19,2025-08-03,51
1017,22.68,2025-08-04,51
1018,44.2,2025-08-05,51
1019,100.19,2025-08-06,51
1020,129.13,2025-08-07,51
1021,23.6,2025-08-08,51
1022,85.71,2025-08-09,51
1023,128.81,2025-08-10,51
1024,72.52,2025-08-11,51
1000,138.43,2025-08-12,49
1001,75.08,2025-08-13,50
1002,58.84,2025-08-14,50
1003,61.96,2025-08-15,50
1004,18.31,2025-08-16,50
1005,32.94,2025-08-17,50
1006,187.04,2025-08-18,49
1007,23.09,2025-08-19,50
1008,173.21,2025-08-20,50
1009,66.31,2025-08-21,50
1010,164.05,2025-08-22,50
1011,48.96,2025-08-23,50
1012,21.94,2025-08-24,50
1013,80.74,2025-08-25,50
1014,141.87,2025-08-26,50
1015,27.82,2025-08-27,50
1016,30.19,2025-08-28,50
1017,20.41,2025-08-29,51
1018,44.2,2025-08-30,51
1019,100.19,2025-08-31,50
1020,129.13,2025-09-01,50
1021,23.6,2025-09-02,51
1022,77.14,2025-09-03,51
1023,143.12,2025-09-04,50
1024,72.52,2025-09-05,51
1000,153.81,2025-09-06,49
1001,75.08,2025-09-07,49
1002,58.84,2025-09-08,49
1003,55.76,2025-09-09,49
1004,18.31,2025-09-10,50
1005,32.94,2025-09-11,50
1006,187.04,2025-09-12,49
1007,23.09,2025-09-13,50
1008,173.21,2025-09-14,49
1009,66.31,2025-09-15,50
1010,182.28,2025-09-16,49
1011,44.06,2025-09-17,50
1012,19.75,2025-09-18,50
1013,80.74,2025-09-19,50
1014,141.87,2025-09-20,50
1015,25.04,2025-09-21,50
1016,30.19,2025-09-22,50
1017,22.68,2025-09-23,50
1018,44.2,2025-09-24,50
1019,100.19,2025-09-25,50
1020,129.13,2025-09-26,50
1021,21.24,2025-09-27,50
1022,85.71,2025-09-28,50
1023,143.12,2025-09-29,50
1024,65.27,2025-09-30,50
1000,153.81,2025-10-01,48
1001,75.08,2025-10-02,49
1002,58.84,2025-10-03,49
1003,55.76,2025-10-04,49
1004,20.34,2025-10-05,49
1005,32.94,2025-10-06,49
1006,187.04,2025-10-07,49
1007,23.09,2025-10-08,49
1008,173.21,2025-10-09,49
1009,66.31,2025-10-10,49
1010,164.05,2025-10-11,49
1011,48.96,2025-10-12,49
1012,21.94,2025-10-13,50
1013,80.74,2025-10-14,49
1014,141.87,2025-10-15,49
1015,27.82,2025-10-16,50
1016,30.19,2025-10-17,50
1017,20.41,2025-10-18,50
1018,44.2,2025-10-19,50
1019,100.19,2025-10-20,50
1020,116.22,2025-10-21,50
1021,23.6,2025-10-22,50
1022,85.71,2025-10-23,50
1023,143.12,2025-10-24,50
1024,72.52,2025-10-25,50
1000,153.81,2025-10-26,48
1001,67.57,2025-10-27,48
1002,58.84,2025-10-28,48
1003,61.96,2025-10-29,49
1004,20.34,2025-10-30,49
1005,32.94,2025-10-31,49
1006,187.04,2025-11-01,48
1007,20.78,2025-11-02,49
1008,173.21,2025-11-03,48
1009,66.31,2025-11-04,49
1010,182.28,2025-11-05,48
1011,44.06,2025-11-06,49
1012,19.75,2025-11-07,49
1013,80.74,2025-11-08,49
1014,141.87,2025-11-09,49
1015,27.82,2025-11-10,49
1016,30.19,2025-11-11,49
1017,22.68,2025-11-12,49
1018,44.2,2025-11-13,49
1019,90.17,2025-11-14,49
1020,116.22,2025-11-15,49
1021,23.6,2025-11-16,50
1022,85.71,2025-11-17,49
1023,143.12,2025-11-18,49
1024,72.52,2025-11-19,50
1000,153.81,2025-11-20,48
1001,75.08,2025-11-21,48
1002,52.96,2025-11-22,48
1003,61.96,2025-11-23,48
1004,20.34,2025-11-24,48
1005,32.94,2025-11-25,48
1006,187.04,2025-11-26,48
1007,23.09,2025-11-27,48
1008,173.21,2025-11-28,48
1009,66.31,2025-11-29,48
1010,164.05,2025-11-30,48
1011,48.96,2025-12-01,49
1012,21.94,2025-12-02,49
1013,80.74,2025-12-03,49
1014,141.87,2025-12-04,48
1015,25.04,2025-12-05,49
1016,30.19,2025-12-06,49
1017,22.68,2025-12-07,49
1018,44.2,2025-12-08,49
1019,100.19,2025-12-09,49
1020,129.13,2025-12-10,49
1021,23.6,2025-12-11,49
1022,85.71,2025-12-12,49
1023,143.12,2025-12-13,49
1024,65.27,2025-12-14,49
1000,153.81,2025-12-15,47
1001,75.08,2025-12-16,48
1002,58.84,2025-12-17,48
1003,61.96,2025-12-18,48
1004,20.34,2025-12-19,48
1005,29.65,2025-12-20,48
1006,168.34,2025-12-21,47
1007,23.09,2025-12-22,48
1008,173.21,2025-12-23,48
1009,66.31,2025-12-24,48
1010,182.28,2025-12-25,48
1011,48.96,2025-12-26,48
1012,21.94,2025-12-27,48
1013,80.74,2025-12-28,48
1014,127.68,2025-12-29,48
1015,27.82,2025-12-30,48
1016,30.19,2025-12-31,48
1017,22.68,2026-01-01,49
1018,44.2,2026-01-02,49
1019,90.17,2026-01-03,48
1020,129.13,2026-01-04,48
1021,23.6,2026-01-05,49
1022,85.71,2026-01-06,49
1023,128.81,2026-01-07,48
1024,72.52,2026-01-08,49
1000,153.81,2026-01-09,47
1001,75.08,2026-01-10,47
1002,58.84,2026-01-11,47
1003,61.96,2026-01-12,47
1004,18.31,2026-01-13,48
1005,32.94,2026-01-14,48
1006,168.34,2026-01-15,47
1007,20.78,2026-01-16,48
1008,173.21,2026-01-17,47
1009,59.68,2026-01-18,48
1010,182.28,2026-01-19,47
1011,48.96,2026-01-20,48
1012,21.94,2026-01-21,48
1013,80.74,2026-01-22,48
1014,141.87,2026-01-23,48
1015,27.82,2026-01-24,48
1016,30.19,2026-01-25,48
1017,22.68,2026-01-26,48
1018,44.2,2026-01-27,48
1019,100.19,2026-01-28,48
1020,129.13,2026-01-29,48
1021,23.6,2026-01-30,48
1022,77.14,2026-01-31,48
1023,143.12,2026-02-01,48
1024,65.27,2026-02-02,48
1000,153.81,2026-02-03,46
1001,75.08,2026-02-04,47
1002,52.96,2026-02-05,47
1003,55.76,2026-02-06,47
1004,20.34,2026-02-07,47
1005,32.94,2026-02-08,47
1006,187.04,2026-02-09,47
1007,20.78,2026-02-10,47
1008,173.21,2026-02-11,47
1009,66.31,2026-02-12,47
1010,182.28,2026-02-13,47
1011,48.96,2026-02-14,47
1012,21.94,2026-02-15,48
1013,80.74,2026-02-16,47
1014,127.68,2026-02-17,47
1015,25.04,2026-02-18,48
1016,27.17,2026-02-19,48
1017,22.68,2026-02-20,48
1018,44.2,2026-02-21,48
1019,100.19,2026-02-22,48
1020,116.22,2026-02-23,48
1021,21.24,2026-02-24,48
1022,77.14,2026-02-25,48
1023,143.12,2026-02-26,48
1024,72.52,2026-02-27,48
1000,153.81,2026-02-28,46
1001,75.08,2026-03-01,46
1002,58.84,2026-03-02,47
1003,61.96,2026-03-03,47
1004,20.34,2026-03-04,47
1005,32.94,2026-03-05,47
1006,187.04,2026-03-06,46
1007,23.09,2026-03-07,47
1008,155.89,2026-03-08,46
1009,66.31,2026-03-09,47
1010,164.05,2026-03-10,47
1011,48.96,2026-03-11,47
1012,21.94,2026-03-12,47
1013,80.74,2026-03-13,47
1014,141.87,2026-03-14,47
1015,25.04,2026-03-15,47
1016,30.19,2026-03-16,47
1017,22.68,2026-03-17,47
1018,44.2,2026-03-18,47
1019,100.19,2026-03-19,47
1020,129.13,2026-03-20,47
1021,23.6,2026-03-21,48
1022,85.71,2026-03-22,47
1023,143.12,2026-03-23,47
1024,72.52,2026-03-24,48
1000,153.81,2026-03-25,46
1001,75.08,2026-03-26,46
1002,58.84,2026-03-27,46
1003,55.76,2026-03-28,46
1004,20.34,2026-03-29,46
1005,29.65,2026-03-30,46
1006,187.04,2026-03-31,46
1007,23.09,2026-04-01,47
1008,173.21,2026-04-02,46
1009,66.31,2026-04-03,46
1010,182.28,2026-04-04,46
1011,48.96,2026-04-05,47
1012,21.94,2026-04-06,47
1013,80.74,2026-04-07,47
1014,141.87,2026-04-08,46
1015,27.82,2026-04-09,47
1016,30.19,2026-04-10,47
1017,22.68,2026-04-11,47
1018,44.2,2026-04-12,47
1019,90.17,2026-04-13,47
1020,129.13,2026-04-14,47
1021,21.24,2026-04-15,47
1022,85.71,2026-04-16,47
1023,143.12,2026-04-17,47
1024,72.52,2026-04-18,47
1000,153.81,2026-04-19,57
1001,75.08,2026-04-20,58
1002,58.84,2026-04-21,58
1003,61.96,2026-04-22,58
1004,18.31,2026-04-23,58
1005,32.94,2026-04-24,58
1006,187.04,2026-04-25,57
1007,23.09,2026-04-26,58
1008,155.89,2026-04-27,58
1009,66.31,2026-04-28,58
1010,164.05,2026-04-29,58
1011,48.96,2026-04-30,58
1012,19.75,2026-05-01,58
1013,80.74,2026-05-02,58
1014,127.68,2026-05-03,58
1015,27.82,2026-05-04,59
1016,30.19,2026-05-05,59
1017,22.68,2026-05-06,59
1018,44.2,2026-05-07,59
1019,100.19,2026-05-08,58
1020,129.13,2026-05-09,58
1021,23.6,2026-05-10,59
1022,77.14,2026-05-11,59
1023,143.12,2026-05-12,58
1024,72.52,2026-05-13,59
1000,153.81,2026-05-14,57
1001,67.57,2026-05-15,57
1002,58.84,2026-05-16,57
1003,61.96,2026-05-17,57
1004,20.34,2026-05-18,58
1005,29.65,2026-05-19,58
1006,187.04,2026-05-20,57
1007,23.09,2026-05-21,58
1008,173.21,2026-05-22,57
1009,59.68,2026-05-23,58
1010,182.28,2026-05-24,57
1011,48.96,2026-05-25,58
1012,21.94,2026-05-26,58
1013,80.74,2026-05-27,58
1014,141.87,2026-05-28,58
1015,27.82,2026-05-29,58
1016,30.19,2026-05-30,58
1017,22.68,2026-05-31,58
1018,44.2,2026-06-01,58
1019,100.19,2026-06-02,58
1020,129.13,2026-06-03,58
1021,23.6,2026-06-04,58
1022,85.71,2026-06-05,58
1023,143.12,2026-06-06,58
1024,65.27,2026-06-07,58
1000,153.81,2026-06-08,57
1001,75.08,2026-06-09,57
1002,58.84,2026-06-10,57
1003,61.96,2026-06-11,57
1004,20.34,2026-06-12,57
1005,32.94,2026-06-13,57
1006,187.04,2026-06-14,57
1007,23.09,2026-06-15,57
1008,155.89,2026-06-16,57
1009,59.68,2026-06-17,57
1010,182.28,2026-06-18,57
1011,44.06,2026-06-19,57
1012,21.94,2026-06-20,58
1013,80.74,2026-06-21,57
1014,141.87,2026-06-22,57
1015,27.82,2026-06-23,58
1016,30.19,2026-06-24,58
1017,22.68,2026-06-25,58
